States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Mississippi,25,2013,99.7,0.1,NA,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,26,2013,95.5,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,27,2013,93.7,0.3,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,28,2013,96.6,0.6,1.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,29,2013,95.6,0.1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,30,2013,94.7,0.4,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,31,2013,96.8,0.2,1.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,32,2013,95.9,0.2,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,33,2013,96.8,0.1,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,34,2013,NA,0.1,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,35,2013,90,0.3,2.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,36,2013,96.2,0.2,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,37,2013,96.4,0.1,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,38,2013,93.2,0.1,7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,39,2013,85.3,0.3,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,40,2013,95.1,0.3,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,41,2013,96.8,0.1,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,42,2013,96.6,0.2,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,43,2013,94.9,0.2,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
